img1,img2,label
./NormalizedFace/ClientNormalized/0005/0005_00_00_02_12.bmp,./NormalizedFace/ClientNormalized/0005/0005_00_00_01_318.bmp,1
./NormalizedFace/ClientNormalized/0005/0005_00_00_02_163.bmp,./NormalizedFace/ImposterNormalized/0005/0005_00_04_03_151.bmp,0
./NormalizedFace/ClientNormalized/0001/0001_00_00_02_127.bmp,./NormalizedFace/ClientNormalized/0001/0001_00_00_01_365.bmp,1
./NormalizedFace/ClientNormalized/0003/0003_01_00_01_498.bmp,./NormalizedFace/ImposterNormalized/0003/0003_01_04_02_23.bmp,0
./NormalizedFace/ClientNormalized/0001/0001_00_00_02_217.bmp,./NormalizedFace/ClientNormalized/0001/0001_00_00_01_477.bmp,1
./NormalizedFace/ClientNormalized/0001/0001_00_00_01_239.bmp,./NormalizedFace/ClientNormalized/0001/0001_00_00_02_228.bmp,1
./NormalizedFace/ClientNormalized/0003/0003_01_00_01_69.bmp,./NormalizedFace/ClientNormalized/0003/0003_01_00_01_69.bmp,1
./NormalizedFace/ClientNormalized/0001/0001_00_00_02_24.bmp,./NormalizedFace/ClientNormalized/0001/0001_00_00_02_228.bmp,1
./NormalizedFace/ClientNormalized/0006/0006_00_06_03_10.bmp,./NormalizedFace/ImposterNormalized/0006/0006_00_01_02_370.bmp,0
./NormalizedFace/ClientNormalized/0002/0002_01_00_01_359.bmp,./NormalizedFace/ImposterNormalized/0002/0002_01_02_02_117.bmp,0
./NormalizedFace/ClientNormalized/0006/0006_00_00_01_78.bmp,./NormalizedFace/ImposterNormalized/0006/0006_00_04_03_400.bmp,0
./NormalizedFace/ClientNormalized/0003/0003_01_00_01_32.bmp,./NormalizedFace/ImposterNormalized/0003/0003_01_04_03_194.bmp,0
./NormalizedFace/ClientNormalized/0004/0004_01_00_02_371.bmp,./NormalizedFace/ClientNormalized/0004/0004_01_00_02_174.bmp,1
./NormalizedFace/ClientNormalized/0008/0008_00_00_02_285.bmp,./NormalizedFace/ImposterNormalized/0008/0008_00_03_03_203.bmp,0
./NormalizedFace/ClientNormalized/0005/0005_00_00_02_151.bmp,./NormalizedFace/ClientNormalized/0005/0005_00_00_02_263.bmp,1
./NormalizedFace/ClientNormalized/0004/0004_01_06_03_334.bmp,./NormalizedFace/ImposterNormalized/0004/0004_01_02_03_0.bmp,0
./NormalizedFace/ClientNormalized/0002/0002_01_00_01_331.bmp,./NormalizedFace/ClientNormalized/0002/0002_01_00_01_217.bmp,1
./NormalizedFace/ClientNormalized/0003/0003_01_00_01_390.bmp,./NormalizedFace/ImposterNormalized/0003/0003_01_00_01_413.bmp,0
./NormalizedFace/ClientNormalized/0007/0007_00_00_01_60.bmp,./NormalizedFace/ImposterNormalized/0007/0007_01_03_03_38.bmp,0
